source,target,edge
school,consultative  meetings,size
unidentified  gunmen,two Arapal village,shot
fifteen Lamu militants,Ishakani town,killed
local  residents,older Waa town,size
Baringo Mochongoi group,Lakipia  counties,size
Starehe police officer,driver,stopped
one  Police,group,size
suspected Pokot militia,thousand Lamaiywet village,killed
Ol Laikipia group,30  cattle,stole
Two Arapal people,Arapal village,killed
Nakuru Naivasha demonstrators,posted fire teargas crowd,size
Marsabit Marsabit motive,retaliatory attack retaliatory revenge,was due
two hand who,Merti town,grenade by
Nairobi Police officers,man,size
Marsabit Kituruni motive,retaliatory attack retaliatory revenges,was due
ethnic North motive,retaliatory attack retaliatory revenges,was due
local  residents,poor Kaani village,size
2021  workers,poor  Nairobi,size
Kisumu Kisumu They,matter,size
local boda boda riders,fuel Eldoret,size
regular police demonstrators,drugs,size
Muranga Muranga diver,two Muranga town,size
they,work,size
Kisumu Kisumu victim,grabbed market area,handling
illegally  motorcycle,local  farmer,size
Samburu Central,land,size
government,Energy Regulatory mark,size
off Thika victim,Marsabit county,based at
various Security forces,him,size
delayed Turkana police,crowd,size
2021 pokot militia,eight Dam Samaki Village,North
Lamu Lamu group,county,size
one Merti They,Isiolo town,size
past Isiolo They,numerous county appeals,size
boda boda that,seriously Likuyani town,report
fatalities,restive Laikipia Nature Conservancy,reported
five  others,civilian Kom village,killed
Kieni group,convoy,size
2021 county health workers,two Mombasa town,size
several  supporters,ahead deputy president,size
Two  members,security forces,arrested by
face police,crowd,size
Five AK47 rifles,500  bullets,recovered
2021  lecturers,planned Eldoret town,size
One police officer,Laikipia Kinamba village,injured
ethnic Lomut who,Chesogon village,Central
they,matatu sacco,size
Lafey chief,2  March,released on
police,15  doctors,size
two  who,two  people,size
group,worth Kilifi 250,size
delayed Otange which,early Ndhiwa town,size
financial county demonstrators,county projects,size
when bus ferrying,10 Embu town,hundreds
three,unknown police offence,said
government officials,residents,size
Boys High he,three Gatamaiyu town,size
that,residents,size
Three  men,gunshot wounds,size
action,police,size
related  that,2018,has
2021 police officers,10pm-4am Kayole village,South
separately Kajiado bikers,then Kitengela Police Station,size
Four Laikipia officers,Sipili town,injured
where Nkunga they,fire,size
Police officers,demonstrators,size
main Mombasa they,acute water area,size
traffic officers,greater Kisumu town,size
stolen Nadapal border fatalities,stolen Nadapal border point,reported
One Kotulo militant,suspected Kotulo village,killed
Kisumu Kisumu They,due  process,size
local  residents,four Kitengela town,size
police,demonstrators,size
who,Lolwe Island,size
Kenyan Fisheries Protection who,Kenya boundaries,West
police,demonstrators,size
Mukutani Arabal injuries,Mukutani Arabal fatalities,reported
pastoralists,pasture,were in
Pokot,Tiaty,drove
Garissa Liboi militants,ransom,released
principal,school,size
suspected  police,tear  crowd,size
Nakuru Lake police,tear  demonstrators,size
militias,several  pasture,invaded several
Two Fino people,private Fino town,killed
two  others,Komor village,killed
later police Police,tear gas crowd,size
Machakos Machakos officer,Masii police station,was in
Laikipia Laikipia militia,eight  pasture,invaded
several  people,Sigor Bomet town,size
Migori Kuria residents,public health guidelines,size
riot Nyeri Nairobi police,people,size
riot Nyeri Nairobi police,group,size
youths planting motive,sub Maasai,is due
private Mariakani They,ancestral  land,size
demolished  they,local  bank,size
five  others,Kapsowar Chepkorowo grazing town,killed
five  houses,Radienya Ndhiwa,size
riot Imenti police,them,size
300  goats,ethnic Gotu town,killed
unknown  number,goats,killed
Two Samburu people,ethnic Marti village,killed
when  they,Kabetwa village,shot
many Meru National students,Meru  town,size
One police officer,several  incident,size
they,Education Loans hundreds,size
he,by election,size
ethnic militia rustlers,200 Samburu herder,raided
Two Elgeyo people,grazing Keiyo Valley,killed
national death women,human rights defenders,targeted
Nairobi police,three  thousands,size
motive,retaliatory  communities,was
300 university animals,revenge attack,killed
who,ethnic Marsabit town,killed
Two Marsabit people,ethnic Marsabit town,killed
Two Marsabit people,woman,killed
ethnic Marsabit motive,attack,is
several  people,peaceful Kisumu town,size
several  people,peaceful Kamukunji grounds,size
villagers,ongoing kidnapping area,size
Nakuru Lake police,200,size
economic Nairobi police,tear  group,size
riders,busy Kajiado town,size
several  houses,alight,set
hundreds,livestock,killed
300  families,Keiyo Valley village,Displacement
local  residents,suspected Mwingi town,size
ethnic Elgeyo attack,retaliatory attack,reported as
Isiolo Bula police,group,tens
suspected Samburu militia,two Isiolo others,Isiolo
Two Liboi rifles,main Liboi town,recovered
Police,group,dozens
who,two  people,size
peaceful police they,dusk  curfew,size
2021 Kenya police forces,Marani town,North
Al Shabaab militia Police,763 AK47 ammunition,seized
other  officers,2021 police Mandera,killed
2021 Kirinyaga South,criminal Kerugoya police station,size
five,civilians,killed
three,two  vehicles,killed
two,allegedly cattle disputes,killed
three,miraa,killed
Kenya Somalia injuries,Kenya Somalia fatalities,reported
Police officers,several  students,size
five  people,dispute,killed
steeling  mob,three  man,size
group,87  goats,stole
2021 Kirinyaga South,suspected  axes,attacked
GK attackers,car,left
he,warmer  hotel,arrested
18  people,ethnic Saku town,Marsabit
young  demonstrators,Eldoret Eldoret Kitale town,size
Two Mai people,Mai Mahiu town,size
Six  people,800 Ngeramara village,killed
One Mandera officer,Wildlife Service Takaba town,killed
One police officer,Lomelo town,injured
students,illegal coronavirus protocols,report
police land cruiser,Serman Kormatto village,killed
Three Mandera people,two police officers,killed including
presumably Wajir injuries,presumably Wajir fatalities,reported
Two Lamu militants,Mararani town,killed
Tana This,land,is
police They,police cell,arrested
Meru Imenti women,witchcraft  sorcery,report
two  others,pastoralist Forole town,killed
motive,related  community,is
suspected Ofonyu he,Kisumu city,size
demonstrators,old Limuru town,size
five teargas students,teargas protesters,size
Three police officers,2021 Darkale Township,killed
Kiserian Kajiado militia,unknown Ramacha Hills,drove
Naivasha Lake demonstrators,seven National Land months,size
Isiolo Kinna raiders,200  goats,took
eight Lamu soldiers,explosion,killed in
five tea gas people,a  hundred,size
Garissa Garissa police,demonstrators,size
2021  students,third Bungoma Township,size
brutal Bungoma They,rising  government,size
motive,business area,is
Kenya Amendment court,Building Bridges Initiative,size
Police officers,tear two hundred,size
2021 Al Shabaab militants,Wargadud town,destruction
2021 Al Shabaab militants,Kheira Ali village,destruction
Two police officers,Tarbaj town,killed
which,riot bar association 100,size
they,survival,size
Two Lamu militants,Lamu town,killed
Five Kilifi people,land Kilifi town,size
motive,land group,related to
police Police,tear gas demonstrators,size
one  other,suspected Kiunga town,killed
Nakuru Police officers,student,size
police officers,a tuk tuk hundred,size
East Africa he,national Nairobi city,correspondent
lockdown  Police,one teargas 50,size
unidentified  gunmen,Kibish Kalokol district,Turkana
Narok Narok police,demonstrators,size
unidentified  gunmen,old Saku town,Central
KFS officers,arrested  youth,size
local  residents,residential Lurambi town,size
others,Burundian Kalobeyei camp,killed
also  tens,livestock,killed
Baringo Kisanana injuries,Baringo Kisanana fatalities,reported
Lamu Lamu injuries,Lamu Lamu fatalities,reported
unidentified  gunmen,200 Kisanana district,Mogotio
them,exams,size
Baringo South Baringo group,other  people,injured
major  Police,teargas protesters,size
police who,them,size
several  others,suspected Koromi village,killed
One Lamu person,Kiunga town,killed
Nakuru Naishi victim,domestic  wife,involved in
Bomet East Bomet students,alleged  classes,size
police who,two  suspects,size
Stock Mandera injuries,Stock Mandera fatalities,reported
reportedly  middleman,fish business,size
one boda boda it,boda boda driver,size
Kisii Nyaribari police,hundred,size
Wajir injuries,Wajir fatalities,reported
Isiolo Isiolo man,spare  parts,accused of
Three  journalists,minor  incident,size
suspected Al Shabaab militants,secondary Wajir town,Wajir
one  killing,other  sources,reported by other
teenage Uasin protesters,suspect,size
hundred  students,Eldoret Uasin hundred,size
unspecified boda taxi group,later  vehicle,size
police security officials,1400,size
lit  Police,tear gas crowd,size
Local security forces,Khorof Harar town,injured
Mandera police reservist,incident,killed during
fifty water vendors,Nakuru Naivasha 50,size
Funan Idhaa which,militia group,were from
riot  police,teargas demonstrators,hundreds
military  forces,suspected Bute area,details
2021  mob,allegedly Nakuru law,size
three  others,2021 Arabia town,killed
Meru Nanyuki Isiolo residents,poor Imenti town,size
3 supremacy one,incident,size
One Funan Qumbi person,100 Funan Qumbi village,killed
chanting,heavy police area,size
Casualties,area,unknown
One Banissa militant,Wol dam Ashabito,killed
police,them,size
politician Bobi Police,allegedly  permit,size
ethnic  militia,chief Kapedo town,shot
attack,revenge,believed
over  Casualities,over  camp,unknown
suspected Al Shabaab militants,mast Mandera town,East
Three Kapedo officers,Kapedo town,injured
reportedly  motive,clash,is unknown
Three others Members,also  center,locked
2021 Borana militia,Halakhe Yayo Saku town,killed
another,incident,killed
suspected Al Shabaab who,mast Didkuro Takaba,West
two  others,grazing North Horr town,killed
local  residents,old Thuci river,size
injuries,fatalities,reported
Mandera Banissa injuries,Mandera Banissa fatalities,reported
2021 Al Shabaab militants,private Takaba town,West
injuries,partially Mandera town,reported
also  motive,clans,was
serious  that,working environment,size
suspected Al Shabaab militants,bound  Banissa,were
motive,land dispute,believed
three police vehicles,bull coronavirus gathering,size
